"";"StatePostal";"EmergDec";"GathRecomAny";"GathRestrictAny";"Quarantine";"SchoolClose";"StayAtHome"
"1";"AK";2020-03-11;2020-03-24;2020-03-24;2020-03-25;2020-03-16;2020-03-28
"2";"AL";2020-03-13;2020-03-19;2020-03-19;NA;2020-03-18;2020-04-04
"3";"AR";2020-03-11;NA;NA;NA;2020-03-17;NA
"4";"AZ";2020-03-11;2020-03-20;2020-03-31;2020-04-09;2020-03-16;2020-03-31
"5";"CA";2020-03-04;2020-03-11;2020-03-11;NA;2020-03-19;2020-03-19
"6";"CO";2020-03-11;2020-03-13;2020-03-19;NA;2020-03-23;2020-03-26
"7";"CT";2020-03-10;2020-03-12;2020-03-12;NA;2020-03-17;2020-03-23
"8";"DC";2020-03-11;2020-03-13;2020-03-13;NA;2020-03-16;2020-04-01
"9";"DE";2020-03-13;2020-03-13;2020-03-16;2020-03-30;2020-03-13;2020-03-24
"10";"FL";2020-03-09;2020-03-17;2020-04-03;2020-03-24;2020-03-17;2020-04-03
"11";"GA";2020-03-14;2020-03-24;2020-03-24;NA;2020-03-18;2020-04-03
"12";"HI";2020-03-04;2020-03-17;2020-03-17;2020-03-26;2020-03-19;2020-03-25
"13";"IA";2020-03-09;2020-03-17;2020-03-17;NA;2020-04-03;NA
"14";"ID";2020-03-13;2020-03-18;2020-03-25;2020-04-15;2020-03-23;2020-03-25
"15";"IL";2020-03-09;2020-03-13;2020-03-13;NA;2020-03-17;2020-03-21
"16";"IN";2020-03-06;2020-03-16;2020-03-12;NA;2020-03-19;2020-03-25
"17";"KS";2020-03-12;2020-03-17;2020-03-17;NA;2020-03-17;2020-03-30
"18";"KY";2020-03-06;2020-03-11;2020-03-19;2020-03-30;2020-03-16;2020-03-26
"19";"LA";2020-03-11;2020-03-13;2020-03-13;NA;2020-03-13;2020-03-23
"20";"MA";2020-03-10;2020-03-13;2020-03-13;2020-03-27;2020-03-17;2020-03-24
"21";"MD";2020-03-05;2020-03-16;2020-03-16;NA;2020-03-16;2020-03-30
"22";"ME";2020-03-15;2020-03-12;2020-03-18;2020-04-03;2020-04-01;2020-04-01
"23";"MI";2020-03-10;2020-03-13;2020-03-13;NA;2020-03-16;2020-03-24
"24";"MN";2020-03-13;2020-03-13;2020-03-28;NA;2020-03-18;2020-03-28
"25";"MO";2020-03-13;2020-03-15;2020-03-23;NA;2020-03-23;2020-04-06
"26";"MS";2020-03-14;2020-03-24;2020-03-24;NA;2020-03-19;2020-04-03
"27";"MT";2020-03-12;2020-03-15;2020-03-24;2020-03-30;2020-03-15;2020-03-28
"28";"NC";2020-03-10;2020-03-12;2020-03-14;NA;2020-03-16;2020-03-30
"29";"ND";2020-03-13;2020-03-12;NA;NA;2020-03-16;NA
"30";"NE";2020-03-13;2020-03-16;2020-03-16;NA;2020-04-03;NA
"31";"NH";2020-03-13;2020-03-16;2020-03-16;NA;2020-03-16;2020-03-28
"32";"NJ";2020-03-09;2020-03-12;2020-03-16;NA;2020-03-18;2020-03-21
"33";"NM";2020-03-11;2020-03-12;2020-03-12;2020-03-27;2020-03-16;2020-03-24
"34";"NV";2020-03-12;2020-03-12;2020-03-24;NA;2020-03-16;2020-03-31
"35";"NY";2020-03-07;2020-03-12;2020-03-12;NA;2020-03-18;2020-03-22
"36";"OH";2020-03-09;2020-03-10;2020-03-12;2020-04-06;2020-03-17;2020-03-24
"37";"OK";2020-03-15;2020-03-17;2020-03-24;2020-03-29;2020-03-17;NA
"38";"OR";2020-03-08;2020-03-12;2020-03-12;NA;2020-03-16;2020-03-23
"39";"PA";2020-03-06;2020-03-17;2020-04-01;NA;2020-03-16;2020-04-01
"40";"RI";2020-03-09;2020-03-11;2020-03-17;2020-03-24;2020-03-16;2020-03-28
"41";"SC";2020-03-13;2020-03-15;2020-03-18;2020-03-27;2020-03-16;2020-04-07
"42";"SD";2020-03-13;2020-03-23;2020-04-06;NA;2020-03-17;NA
"43";"TN";2020-03-12;2020-03-12;2020-03-23;NA;2020-04-15;2020-04-01
"44";"TX";2020-03-13;2020-03-21;2020-03-21;2020-03-28;2020-03-21;2020-04-02
"45";"UT";2020-03-06;2020-03-16;2020-03-17;NA;2020-03-16;2020-03-27
"46";"VA";2020-03-12;2020-03-15;2020-03-15;NA;2020-03-16;2020-03-30
"47";"VT";2020-03-13;2020-03-13;2020-03-13;2020-03-30;2020-03-18;2020-03-24
"48";"WA";2020-02-29;2020-03-13;2020-03-13;NA;2020-03-17;2020-03-23
"49";"WI";2020-03-12;2020-03-17;2020-03-17;NA;2020-03-18;2020-03-25
"50";"WV";2020-03-16;2020-03-12;2020-03-24;2020-03-31;2020-03-14;2020-03-24
"51";"WY";2020-03-13;2020-03-20;2020-03-20;2020-04-03;2020-03-19;NA
