state,age,dt,norm_visits
AR,25_34,6/29/2020,"964,235"
MO,35_44,3/4/2020,"3,277,976"
MI,45_54,5/8/2020,"3,448,643"
MI,35_44,5/15/2020,"4,077,930"
NC,18_24,6/21/2020,"1,752,828"
FL,55_64,6/12/2020,"6,140,419"
AR,45_54,5/23/2020,"1,361,613"
AR,55_64,6/5/2020,"821,745"
AR,35_44,4/22/2020,"1,339,652"
NV,18_24,5/10/2020,"425,160"
NV,45_54,5/3/2020,"875,191"
FL,35_44,6/18/2020,"9,738,830"
FL,25_34,5/13/2020,"6,809,984"
MN,55_64,5/19/2020,"1,222,094"
FL,35_44,8/13/2020,"9,130,465"
FL,45_54,8/13/2020,"7,723,929"
PA,25_34,8/17/2020,"4,516,376"
PA,35_44,7/11/2020,"5,970,361"
AR,45_54,6/2/2020,"1,353,359"
MO,55_64,4/10/2020,"1,372,479"
FL,65_plus,7/18/2020,"3,167,577"
MO,18_24,5/31/2020,"1,126,729"
AR,25_34,7/27/2020,"946,573"
NC,45_54,2/3/2020,"4,086,316"
NC,55_64,6/22/2020,"2,475,387"
SC,25_34,3/8/2020,"2,194,513"
NY,35_44,6/5/2020,"9,334,765"
NY,25_34,2/29/2020,"11,740,887"
TX,18_24,3/25/2020,"3,745,519"
TX,35_44,7/21/2020,"12,194,909"
TX,65_plus,2/13/2020,"3,450,779"
TX,55_64,7/13/2020,"5,111,811"
TX,35_44,8/10/2020,"12,270,145"
WA,65_plus,3/23/2020,"937,976"
WA,25_34,2/4/2020,"2,967,341"
CA,45_54,6/23/2020,"13,781,000"
CA,18_24,3/4/2020,"9,848,635"
CA,55_64,3/5/2020,"11,519,774"
CA,25_34,8/4/2020,"15,054,888"
TX,55_64,3/10/2020,"6,306,328"
SD,18_24,8/11/2020,"180,165"
NH,18_24,8/6/2020,"254,241"
NH,35_44,8/18/2020,"698,292"
IL,65_plus,6/15/2020,"1,644,935"
IL,35_44,8/16/2020,"5,841,499"
NJ,65_plus,6/9/2020,"1,173,775"
NJ,65_plus,7/27/2020,"1,178,665"
NM,65_plus,8/12/2020,"287,763"
WY,25_34,3/15/2020,"218,162"
WY,18_24,3/6/2020,"110,763"
NM,35_44,8/3/2020,"933,876"
CO,45_54,3/12/2020,"2,275,071"
GA,55_64,7/27/2020,"2,215,936"
GA,25_34,5/31/2020,"3,875,706"
GA,55_64,7/16/2020,"2,332,013"
ND,35_44,2/3/2020,"333,858"
ND,45_54,4/4/2020,"203,204"
NJ,25_34,2/13/2020,"3,575,827"
CA,25_34,2/3/2020,"18,344,354"
ID,35_44,6/12/2020,"852,472"
WI,65_plus,8/6/2020,"774,139"
MO,25_34,6/22/2020,"2,119,356"
NJ,18_24,2/12/2020,"1,772,862"
CO,25_34,8/2/2020,"2,282,223"
CO,35_44,7/15/2020,"2,590,241"
CO,55_64,8/12/2020,"1,295,614"
VA,45_54,7/27/2020,"3,019,321"
OH,65_plus,2/16/2020,"1,346,373"
OH,35_44,2/8/2020,"6,282,140"
OH,55_64,6/10/2020,"2,893,946"
OH,35_44,7/21/2020,"5,099,970"
OH,55_64,4/25/2020,"2,604,546"
OH,45_54,4/11/2020,"3,979,538"
GA,25_34,4/4/2020,"3,203,207"
MT,65_plus,3/18/2020,"156,116"
MT,35_44,8/16/2020,"526,156"
MT,25_34,2/14/2020,"393,444"
MT,65_plus,7/5/2020,"157,260"
SD,25_34,2/27/2020,"327,775"
MT,65_plus,4/11/2020,"90,443"
MT,65_plus,7/11/2020,"191,460"
TN,18_24,3/19/2020,"1,018,345"
TN,55_64,2/23/2020,"1,691,270"
TN,35_44,2/23/2020,"3,653,312"
VA,55_64,3/16/2020,"2,078,161"
VA,55_64,2/18/2020,"2,252,098"
VA,25_34,2/28/2020,"3,935,539"
OK,65_plus,8/4/2020,"439,542"
OK,55_64,6/8/2020,"946,649"
OK,45_54,3/16/2020,"1,635,132"
CO,35_44,6/15/2020,"2,510,330"
CO,18_24,2/12/2020,"1,133,945"
CO,35_44,6/4/2020,"2,453,181"
CO,65_plus,3/9/2020,"722,046"
DE,65_plus,5/23/2020,"144,740"
DE,18_24,4/7/2020,"122,997"
NY,18_24,2/9/2020,"5,054,200"
NY,35_44,7/22/2020,"9,274,739"
NY,18_24,7/4/2020,"3,643,585"
NY,25_34,7/4/2020,"8,515,062"
FL,35_44,8/3/2020,"8,698,198"
NJ,18_24,3/4/2020,"1,747,557"
NJ,35_44,4/11/2020,"3,310,078"
VA,45_54,5/2/2020,"3,293,507"
VA,18_24,5/23/2020,"1,557,546"
VA,65_plus,6/16/2020,"1,137,385"
CO,45_54,4/20/2020,"1,555,328"
IL,35_44,3/5/2020,"7,013,045"
IL,18_24,2/25/2020,"2,355,955"
IL,35_44,3/6/2020,"7,252,321"
VA,25_34,3/23/2020,"2,634,974"
MN,25_34,3/12/2020,"1,982,616"
WI,65_plus,6/25/2020,"774,600"
IL,45_54,8/18/2020,"4,951,442"
IL,55_64,3/20/2020,"3,107,366"
MO,18_24,8/9/2020,"1,060,195"
MO,55_64,5/4/2020,"1,303,365"
IL,65_plus,7/6/2020,"1,549,551"
SC,45_54,8/20/2020,"2,132,329"
SC,18_24,7/9/2020,"934,459"
WA,65_plus,4/21/2020,"962,639"
OR,55_64,4/8/2020,"823,637"
OR,45_54,5/2/2020,"1,289,304"
LA,35_44,3/1/2020,"2,851,308"
TN,55_64,8/7/2020,"1,885,829"
SD,45_54,5/21/2020,"343,972"
SD,55_64,2/2/2020,"168,793"
SD,45_54,2/9/2020,"292,009"
SD,25_34,2/9/2020,"325,623"
OR,65_plus,4/1/2020,"527,416"
OR,18_24,4/24/2020,"515,781"
CT,45_54,6/21/2020,"1,376,195"
CT,45_54,3/9/2020,"1,601,597"
CT,65_plus,6/5/2020,"546,448"
CT,18_24,7/28/2020,"597,784"
KS,18_24,8/17/2020,"559,199"
NE,45_54,5/16/2020,"716,186"
IA,45_54,5/22/2020,"1,304,542"
KS,18_24,5/1/2020,"515,593"
IA,35_44,8/6/2020,"1,537,406"
KS,35_44,7/7/2020,"1,468,416"
NE,55_64,2/6/2020,"462,720"
NE,65_plus,6/22/2020,"211,722"
NE,65_plus,5/12/2020,"226,638"
NE,65_plus,3/2/2020,"243,593"
MO,35_44,2/2/2020,"3,247,864"
MO,35_44,8/19/2020,"3,097,037"
MO,55_64,7/18/2020,"1,558,271"
TN,65_plus,8/9/2020,"812,805"
TN,18_24,7/31/2020,"1,187,853"
TN,35_44,5/9/2020,"3,771,961"
TN,18_24,7/23/2020,"1,099,120"
VA,65_plus,5/22/2020,"1,111,224"
OK,55_64,2/1/2020,"854,923"
NY,45_54,4/20/2020,"6,905,023"
NY,35_44,5/11/2020,"7,722,723"
MI,25_34,3/21/2020,"2,943,430"
MI,18_24,2/8/2020,"2,156,167"
DC,18_24,5/27/2020,"130,898"
DC,65_plus,8/6/2020,"50,634"
MD,25_34,4/3/2020,"2,030,091"
DC,18_24,6/13/2020,"153,191"
ME,65_plus,7/29/2020,"263,815"
ME,35_44,7/24/2020,"699,804"
ME,55_64,6/9/2020,"389,484"
ME,18_24,8/19/2020,"229,755"
IN,35_44,6/25/2020,"3,233,722"
IN,35_44,3/11/2020,"3,205,001"
MO,45_54,8/22/2020,"433,700"
NJ,35_44,3/7/2020,"5,278,722"
WI,25_34,3/22/2020,"1,481,998"
KY,55_64,7/29/2020,"1,101,254"
MA,25_34,7/17/2020,"2,588,575"
MO,55_64,3/21/2020,"1,391,361"
IN,18_24,5/26/2020,"1,129,337"
SD,65_plus,5/13/2020,"95,923"
IL,25_34,5/17/2020,"3,512,040"
MS,18_24,3/4/2020,"710,819"
MS,25_34,6/19/2020,"1,209,559"
MA,25_34,8/11/2020,"2,508,381"
MN,25_34,4/22/2020,"1,612,576"
LA,25_34,2/2/2020,"2,371,181"
LA,55_64,7/4/2020,"913,093"
MI,35_44,4/29/2020,"3,390,465"
MI,55_64,7/13/2020,"2,804,341"
MI,18_24,7/14/2020,"1,764,294"
NE,18_24,4/19/2020,"313,129"
SC,35_44,2/2/2020,"2,547,851"
SC,65_plus,4/24/2020,"783,722"
NC,25_34,5/2/2020,"3,726,057"
SC,65_plus,3/1/2020,"867,984"
NC,35_44,7/3/2020,"5,340,679"
SC,18_24,2/9/2020,"943,863"
WI,35_44,6/9/2020,"2,220,770"
WI,45_54,8/21/2020,"2,452,465"
AR,35_44,3/22/2020,"1,098,926"
AZ,35_44,2/3/2020,"3,215,238"
NJ,65_plus,5/28/2020,"1,081,137"
IN,55_64,6/29/2020,"1,631,666"
UT,35_44,6/2/2020,"1,386,771"
AZ,25_34,4/17/2020,"2,312,388"
KS,18_24,7/11/2020,"563,252"
KS,25_34,7/11/2020,"1,080,765"
KY,18_24,2/23/2020,"881,851"
KY,35_44,6/17/2020,"2,300,818"
KY,65_plus,7/5/2020,"441,663"
RI,35_44,7/7/2020,"498,405"
MD,25_34,6/17/2020,"2,188,774"
MD,55_64,5/12/2020,"1,321,290"
AL,45_54,2/24/2020,"2,050,657"
AL,18_24,2/13/2020,"1,159,164"
WI,25_34,6/19/2020,"2,269,469"
WI,35_44,3/16/2020,"2,280,357"
IN,45_54,3/14/2020,"2,644,281"
IN,45_54,5/9/2020,"2,611,943"
IN,25_34,7/11/2020,"2,679,187"
IN,45_54,4/25/2020,"2,235,192"
NV,35_44,8/16/2020,"1,744,114"
NV,35_44,4/27/2020,"1,217,832"
NV,25_34,6/21/2020,"1,766,599"
SD,18_24,4/17/2020,"120,063"
KS,55_64,7/31/2020,"690,027"
KS,45_54,7/31/2020,"1,203,231"
KS,55_64,2/21/2020,"733,471"
NC,55_64,6/7/2020,"2,175,257"
WV,65_plus,7/25/2020,"243,890"
IA,65_plus,2/12/2020,"447,256"
ID,45_54,2/22/2020,"679,236"
ID,18_24,5/7/2020,"205,392"
RI,55_64,4/8/2020,"246,972"
WV,65_plus,6/22/2020,"244,578"
NV,18_24,5/1/2020,"398,038"
WI,35_44,4/17/2020,"2,186,600"
WI,65_plus,4/7/2020,"533,800"
OK,35_44,4/17/2020,"1,877,821"
UT,25_34,8/4/2020,"1,116,437"
UT,55_64,8/7/2020,"573,032"
UT,55_64,6/16/2020,"541,925"
AZ,18_24,5/15/2020,"1,140,883"
AZ,35_44,6/26/2020,"3,043,593"
AZ,55_64,5/21/2020,"1,704,581"
WI,45_54,4/26/2020,"1,783,318"
AL,35_44,2/9/2020,"2,614,022"
OR,18_24,3/2/2020,"740,898"
IA,65_plus,7/18/2020,"339,054"
AZ,35_44,6/22/2020,"2,724,809"
AR,18_24,5/19/2020,"518,426"
AL,55_64,4/8/2020,"1,002,691"
NJ,25_34,3/22/2020,"2,331,323"
AK,65_plus,5/26/2020,"100,130"
AK,18_24,7/21/2020,"116,671"
AK,65_plus,2/29/2020,"92,283"
ID,55_64,7/10/2020,"424,452"
ME,25_34,6/1/2020,"357,757"
SD,65_plus,2/1/2020,"85,251"
NM,65_plus,2/17/2020,"397,837"
DE,18_24,2/4/2020,"191,240"
ND,65_plus,6/30/2020,"90,819"
ID,45_54,4/19/2020,"474,692"
NH,25_34,6/8/2020,"457,477"
WY,35_44,3/9/2020,"300,979"
WY,18_24,5/15/2020,"86,005"
ME,25_34,7/27/2020,"438,128"
WY,65_plus,7/6/2020,"99,774"
AK,55_64,6/5/2020,"188,518"
MT,25_34,4/24/2020,"310,230"
OK,55_64,4/11/2020,"694,801"
WV,45_54,6/10/2020,"779,292"
