geography,age,dt,norm_visits
WI,55_64,10/07/2020,"1,818,166"
SC,45_54,30/04/2020,"1,722,807"
FL,35_44,11/08/2020,"8,106,946"
FL,35_44,03/07/2020,"8,543,663"
NJ,45_54,09/09/2020,"4,069,522"
MI,55_64,10/08/2020,"3,490,781"
VA,45_54,29/05/2020,"3,243,834"
PA,45_54,05/02/2020,"5,272,686"
TX,65_plus,20/07/2020,"5,932,470"
VA,25_34,17/07/2020,"3,408,735"
MS,35_44,20/06/2020,"1,245,377"
TN,55_64,28/06/2020,"2,058,925"
OH,35_44,08/03/2020,"4,495,890"
IN,18_24,25/07/2020,"2,170,187"
OH,18_24,10/03/2020,"2,852,927"
IL,25_34,15/06/2020,"4,660,563"
IL,25_34,23/09/2020,"5,698,379"
CA,25_34,21/04/2020,"12,547,865"
CA,25_34,24/05/2020,"14,871,429"
HI,35_44,16/02/2020,"1,035,806"
GA,35_44,15/08/2020,"4,969,778"
IN,18_24,09/02/2020,"1,704,432"
NY,45_54,04/09/2020,"10,441,329"
MS,45_54,31/03/2020,"924,804"
FL,18_24,19/02/2020,"6,665,442"
VT,45_54,09/07/2020,"280,939"
VT,45_54,26/06/2020,"308,235"
NY,55_64,25/08/2020,"6,705,624"
NY,55_64,06/07/2020,"5,656,599"
PA,45_54,05/05/2020,"4,496,598"
PA,45_54,13/03/2020,"5,873,295"
MD,25_34,16/06/2020,"2,200,040"
TX,25_34,06/06/2020,"12,025,546"
TX,25_34,30/04/2020,"9,570,977"
OH,25_34,09/08/2020,"4,349,728"
OH,25_34,14/08/2020,"5,026,524"
VA,45_54,21/02/2020,"3,715,631"
VA,55_64,18/05/2020,"2,022,624"
ND,25_34,06/06/2020,"252,166"
ND,25_34,31/07/2020,"284,468"
CA,65_plus,07/08/2020,"11,028,111"
TX,45_54,08/08/2020,"10,479,321"
TX,55_64,05/05/2020,"5,996,416"
CA,45_54,25/02/2020,"17,013,404"
HI,35_44,26/02/2020,"898,771"
NC,35_44,26/03/2020,"3,232,975"
WI,45_54,22/08/2020,"2,803,936"
CA,35_44,16/06/2020,"14,558,702"
MD,18_24,23/07/2020,"1,600,046"
OH,25_34,27/04/2020,"3,416,555"
OH,25_34,16/06/2020,"4,302,154"
NC,65_plus,02/03/2020,"3,357,466"
AR,25_34,17/08/2020,"1,247,856"
AR,25_34,28/06/2020,"1,061,536"
CO,45_54,14/09/2020,"2,291,818"
SD,35_44,02/03/2020,"228,256"
